         10913469 function calls (10219050 primitive calls) in 26.305 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4267    6.947    0.002    6.965    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
      129    0.189    0.001    4.348    0.034 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redandblue/redandblue.py:228(_render_frame)
      126    0.000    0.000    4.102    0.033 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/gymnasium/wrappers/order_enforcing.py:52(step)
      126    0.001    0.000    4.102    0.033 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/gymnasium/wrappers/env_checker.py:45(step)
      126    0.057    0.000    4.100    0.033 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redandblue/redandblue.py:125(step)
      552    0.003    0.000    3.551    0.006 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/keras/src/backend/tensorflow/trainer.py:679(enumerate_epoch)
    10844    0.003    0.000    3.550    0.000 {built-in method builtins.iter}
      276    0.003    0.000    3.547    0.013 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/data/ops/dataset_ops.py:488(__iter__)
      279    0.001    0.000    3.536    0.013 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/data/ops/iterator_ops.py:670(__init__)
      276    0.005    0.000    3.535    0.013 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/data/ops/iterator_ops.py:713(_create_iterator)
      276    0.001    0.000    3.478    0.013 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/ops/gen_dataset_ops.py:3460(make_iterator)
      258    0.517    0.002    2.701    0.010 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redandblue/redandblue.py:400(_draw_view_cone)
