Episode,Reward,Wins,Losses,Epsilon
0,-8.530279808197347,0,0,1.0
1,100.0,1,0,1.0
2,-5.950730203556112,1,0,1.0
3,100.0,2,0,1.0
4,100.0,3,0,1.0
5,-2.324636184109181,3,0,1.0
6,-100.0,3,1,0.995
7,-4.443990539282457,3,1,0.6337242817644086
8,-6.094098993002593,3,1,0.500708706245853
9,100.0,4,1,0.36880183088056995
10,-100.0,4,2,0.28704309604425327
11,-6.023576477920766,4,2,0.1730128104744653
12,-3.455934232379275,4,2,0.1534024157688821
13,-100.0,4,3,0.15035730121053842
14,100.0,5,3,0.14960551470448571
15,-5.849224619940069,5,3,0.12120401149972035
16,100.0,6,3,0.10746596228306791
17,-5.168392000717586,6,3,0.09246201511725258
18,-8.807183275131312,6,3,0.08619587539414532
19,-100.0,6,4,0.05714511431233153
20,-2.929869176100221,6,4,0.03826710124979409
21,-100.0,6,5,0.025497353542912736
22,-100.0,6,6,0.01583754189442009
23,-100.0,6,7,0.014471156162198668
24,-3.2464744758688227,6,7,0.00998645168764533
25,-4.226206624683458,6,7,0.00998645168764533
26,-3.542027106038521,6,7,0.00998645168764533
27,100.0,7,7,0.00998645168764533
28,-2.7775431461375,7,7,0.00998645168764533
29,-3.3950004837246697,7,7,0.00998645168764533
30,-100.0,7,8,0.00998645168764533
31,-4.805052174056577,7,8,0.00998645168764533
32,-7.344149849856773,7,8,0.00998645168764533
33,-100.0,7,9,0.00998645168764533
34,-3.651041439598586,7,9,0.00998645168764533
35,-9.755347233158496,7,9,0.00998645168764533
36,-4.045145909821295,7,9,0.00998645168764533
37,-9.91881181433667,7,9,0.00998645168764533
38,-9.867878376043608,7,9,0.00998645168764533
39,-3.1628654304709203,7,9,0.00998645168764533
40,-6.274353663290112,7,9,0.00998645168764533
41,-100.0,7,10,0.00998645168764533
42,-9.97061290655342,7,10,0.00998645168764533
43,100.0,8,10,0.00998645168764533
44,-100.0,8,11,0.00998645168764533
45,-8.450187371881317,8,11,0.00998645168764533
46,-0.7464744758688227,8,11,0.00998645168764533
47,-4.970540327824146,8,11,0.00998645168764533
48,-100.0,8,12,0.00998645168764533
49,-5.03704121369457,8,12,0.00998645168764533
50,100.0,9,12,0.00998645168764533
51,-4.503418232577268,9,12,0.00998645168764533
52,-8.033032625056824,9,12,0.00998645168764533
53,-100.0,9,13,0.00998645168764533
54,-9.935571984655377,9,13,0.00998645168764533
55,-100.0,9,14,0.00998645168764533
56,-2.5186656595676906,9,14,0.00998645168764533
57,-7.311678144117675,9,14,0.00998645168764533
58,-100.0,9,15,0.00998645168764533
59,-2.936521744650535,9,15,0.00998645168764533
60,-6.7603924443137045,9,15,0.00998645168764533
61,-5.4630802808676115,9,15,0.00998645168764533
62,100.0,10,15,0.00998645168764533
63,-1.6905137906469263,10,15,0.00998645168764533
64,-6.79724886059672,10,15,0.00998645168764533
65,-3.199778878169392,10,15,0.00998645168764533
66,-100.0,10,16,0.00998645168764533
67,-3.177973261587366,10,16,0.00998645168764533
68,-8.118083877981382,10,16,0.00998645168764533
69,-100.0,10,17,0.00998645168764533
70,-5.5015030138808,10,17,0.00998645168764533
71,100.0,11,17,0.00998645168764533
72,-8.81030462812043,11,17,0.00998645168764533
73,-100.0,11,18,0.00998645168764533
74,-3.4025431461374995,11,18,0.00998645168764533
75,-5.520527540927237,11,18,0.00998645168764533
76,-7.569591449056297,11,18,0.00998645168764533
77,-1.4559891607573099,11,18,0.00998645168764533
78,-8.066943694401356,11,18,0.00998645168764533
79,-5.645343252010211,11,18,0.00998645168764533
80,-100.0,11,19,0.00998645168764533
81,-3.859821704207756,11,19,0.00998645168764533
82,-7.121071939947671,11,19,0.00998645168764533
83,-8.788726980169717,11,19,0.00998645168764533
84,-9.915820291622026,11,19,0.00998645168764533
85,-100.0,11,20,0.00998645168764533
86,-2.721463831957262,11,20,0.00998645168764533
87,-100.0,11,21,0.00998645168764533
88,-4.083710761887165,11,21,0.00998645168764533
89,-4.382462208356264,11,21,0.00998645168764533
90,-100.0,11,22,0.00998645168764533
91,-100.0,11,23,0.00998645168764533
92,-6.424961627609271,11,23,0.00998645168764533
93,-4.525799774916361,11,23,0.00998645168764533
94,100.0,12,23,0.00998645168764533
95,-7.551919504533339,12,23,0.00998645168764533
96,-9.148736434100933,12,23,0.00998645168764533
97,-5.116483389708228,12,23,0.00998645168764533
98,-2.974355208207685,12,23,0.00998645168764533
