Episode,Reward,Wins,Losses,Epsilon
0,-11.903716639517976,0,0,1.0
1,-3.2655337460402327,0,0,1.0
2,-7.729794220292444,0,0,1.0
3,-100.0,0,1,1.0
4,-14.606614675624655,0,1,1.0
5,-13.112696575952178,0,1,1.0
6,-14.307469614326804,0,1,1.0
7,-4.008528555133489,0,1,1.0
8,-3.38181402836998,0,1,0.9322301194154049
9,-11.670362357837245,0,1,0.7477194593032545
10,-12.834127191421215,0,1,0.6465587967553006
11,-100.0,0,2,0.6433260027715241
12,-100.0,0,3,0.6401093727576664
13,-7.26882265162121,0,3,0.5057535983897912
14,-11.81822293389241,0,3,0.3743896431025813
15,-12.778916769237508,0,3,0.3302941218954743
16,-4.812974144382562,0,3,0.2702863258025825
17,-18.26885130883248,0,3,0.2010878536592394
18,-100.0,0,4,0.17214774642209296
19,-11.27926915129651,0,4,0.16048131420416054
20,-6.0820826914001564,0,4,0.12365869841532712
21,-11.17565370251747,0,4,0.10800599224428936
22,-6.540901129124199,0,4,0.08750185146499175
23,-15.55,0,4,0.07018314008827135
24,-8.831589328142737,0,4,0.05517478773284426
25,-12.99854434549725,0,4,0.04023414326483323
26,-7.9588388166535955,0,4,0.030539660091838977
27,-5.970038519619875,0,4,0.028186002814352063
28,-11.785396024453647,0,4,0.024741930939380097
29,-100.0,0,5,0.021502049198442223
30,-100.0,0,6,0.015368315270123408
31,-100.0,0,7,0.01529147369377279
32,-15.410258619878022,0,7,0.014326806379480736
33,-8.118959044126083,0,7,0.01166529436067347
34,-12.474339160353976,0,7,0.00998645168764533
35,-8.253306281375927,0,7,0.00998645168764533
36,-5.134577123916655,0,7,0.00998645168764533
37,-13.765724429251291,0,7,0.00998645168764533
38,-2.698662860512605,0,7,0.00998645168764533
39,-6.28753790234795,0,7,0.00998645168764533
40,-14.905775022728509,0,7,0.00998645168764533
41,-13.880866391171025,0,7,0.00998645168764533
42,-4.9431103927497695,0,7,0.00998645168764533
43,-12.85945413053753,0,7,0.00998645168764533
44,-100.0,0,8,0.00998645168764533
