Episode,Reward,Wins,Losses,Epsilon
0,-10.09281229768569,0,0,1.0
1,-14.902290246369787,0,0,1.0
2,-16.06430174235462,0,0,1.0
3,-13.184319757874015,0,0,1.0
4,-7.148285232618882,0,0,1.0
5,-8.815314561511991,0,0,1.0
6,-12.907001333198346,0,0,0.9521577859830145
7,-11.959915984206743,0,0,0.9193926150309796
8,-14.84701392515547,0,0,0.8833250364922639
9,-16.04418689435967,0,0,0.8335254355400126
10,-11.698901332461254,0,0,0.7865334084168147
11,-15.977777777777778,0,0,0.7421906713080445
12,-10.427370492918223,0,0,0.7145029791340722
13,-6.864003954451948,0,0,0.6782806562448989
14,-100.0,0,1,0.677602375588654
15,-16.39423952973602,0,1,0.6311383701174348
16,-6.894599197007367,0,1,0.5825908266400397
17,-14.576757030056893,0,1,0.5420992348603912
18,100.0,1,1,0.5388547601058953
19,-9.810176272835623,1,1,0.5019048446041944
20,100.0,2,1,0.46983310087889063
21,-100.0,2,2,0.4289464117416609
22,-6.644444444444445,2,2,0.3967446880864632
23,-100.0,2,3,0.3773857802651195
24,100.0,3,3,0.37400286247792053
25,-6.981802258248395,3,3,0.349753957504439
26,-16.779651652774778,3,3,0.3287175620446999
27,-15.356334334403044,3,3,0.3117408988401202
28,-7.753250955386073,3,3,0.28290859454547135
29,-17.813184237211804,3,3,0.26642528237806207
30,100.0,4,3,0.2569999334576916
31,-100.0,4,4,0.2501503949958493
32,100.0,5,4,0.2481561820560168
33,-11.714422706714858,5,4,0.24275368977706507
34,-100.0,5,5,0.22792480819542846
35,-6.286364594265304,5,5,0.21336040198243916
36,-11.018322472847501,5,5,0.20913349021874023
37,-100.0,5,6,0.2045805427289133
38,-100.0,5,7,0.19576985012882828
39,-100.0,5,8,0.1875261347249312
40,-19.47192590454911,5,8,0.173795652049949
41,100.0,6,8,0.17362185639789907
42,-7.458295122245163,6,8,0.1607485221367656
43,-100.0,6,9,0.15521692549844113
44,-100.0,6,10,0.14749556991243082
45,-14.20906195153984,6,10,0.1384856374905753
46,100.0,7,10,0.13199217015362613
47,-20.27074171517254,7,10,0.1217174136917078
48,-100.0,7,11,0.11543130130536802
49,-100.0,7,12,0.11157070860138803
50,-5.941354179666349,7,12,0.1044413349522134
51,100.0,8,12,0.09994334856146549
52,-100.0,8,13,0.09994334856146549
53,-17.06703416099652,8,13,0.09994334856146549
54,-7.410668867449896,8,13,0.09994334856146549
55,-13.079196496600664,8,13,0.09994334856146549
56,-1.2413901727552434,8,13,0.09994334856146549
57,-13.530435275259222,8,13,0.09994334856146549
58,-100.0,8,14,0.09994334856146549
59,-9.96663070430543,8,14,0.09994334856146549
60,-100.0,8,15,0.09994334856146549
61,-8.443863296951157,8,15,0.09994334856146549
62,-100.0,8,16,0.09994334856146549
63,-100.0,8,17,0.09994334856146549
64,-100.0,8,18,0.09994334856146549
65,100.0,9,18,0.09994334856146549
66,100.0,10,18,0.09994334856146549
67,-7.03464762112977,10,18,0.09994334856146549
68,100.0,11,18,0.09994334856146549
69,100.0,12,18,0.09994334856146549
70,100.0,13,18,0.09994334856146549
71,-100.0,13,19,0.09994334856146549
72,-3.5670028906563784,13,19,0.09994334856146549
73,-100.0,13,20,0.09994334856146549
74,-18.166320833817554,13,20,0.09994334856146549
75,100.0,14,20,0.09994334856146549
76,-7.2688844494539975,14,20,0.09994334856146549
77,100.0,15,20,0.09994334856146549
78,-15.566905805799697,15,20,0.09994334856146549
79,-7.579018227881895,15,20,0.09994334856146549
80,100.0,16,20,0.09994334856146549
81,-100.0,16,21,0.09994334856146549
82,-11.845207516916723,16,21,0.09994334856146549
83,-9.984602555331392,16,21,0.09994334856146549
84,-100.0,16,22,0.09994334856146549
85,-100.0,16,23,0.09994334856146549
86,100.0,17,23,0.09994334856146549
87,-100.0,17,24,0.09994334856146549
88,-7.3536250397343075,17,24,0.09994334856146549
89,100.0,18,24,0.09994334856146549
90,-4.449008521330114,18,24,0.09994334856146549
91,-100.0,18,25,0.09994334856146549
92,-100.0,18,26,0.09994334856146549
93,-6.052011280593852,18,26,0.09994334856146549
94,-100.0,18,27,0.09994334856146549
95,-19.201225931827533,18,27,0.09994334856146549
96,-100.0,18,28,0.09994334856146549
97,-10.41055475858307,18,28,0.09994334856146549
98,-6.252659800682808,18,28,0.09994334856146549
99,-100.0,18,29,0.09994334856146549
100,-100.0,18,30,0.09994334856146549
101,100.0,19,30,0.09994334856146549
102,-19.194997200057752,19,30,0.09994334856146549
103,-5.878731509300589,19,30,0.09994334856146549
104,-17.49383290608724,19,30,0.09994334856146549
105,100.0,20,30,0.09994334856146549
106,-6.164936480270628,20,30,0.09994334856146549
107,-100.0,20,31,0.09994334856146549
108,-100.0,20,32,0.09994334856146549
109,100.0,21,32,0.09994334856146549
110,-6.974693998631793,21,32,0.09994334856146549
111,100.0,22,32,0.09994334856146549
112,-100.0,22,33,0.09994334856146549
113,-100.0,22,34,0.09994334856146549
114,100.0,23,34,0.09994334856146549
115,-18.116357504031797,23,34,0.09994334856146549
116,-12.986566576646545,23,34,0.09994334856146549
117,100.0,24,34,0.09994334856146549
118,-8.210288831922743,24,34,0.09994334856146549
119,-100.0,24,35,0.09994334856146549
120,-6.065825125879255,24,35,0.09994334856146549
121,-100.0,24,36,0.09994334856146549
122,100.0,25,36,0.09994334856146549
123,-100.0,25,37,0.09994334856146549
124,-3.7850499471096564,25,37,0.09994334856146549
125,-100.0,25,38,0.09994334856146549
126,-100.0,25,39,0.09994334856146549
127,-100.0,25,40,0.09994334856146549
128,-100.0,25,41,0.09994334856146549
129,-100.0,25,42,0.09994334856146549
130,100.0,26,42,0.09994334856146549
131,-100.0,26,43,0.09994334856146549
132,-100.0,26,44,0.09994334856146549
133,-8.322354006175535,26,44,0.09994334856146549
134,-9.741885415351575,26,44,0.09994334856146549
135,100.0,27,44,0.09994334856146549
136,-11.506764776972094,27,44,0.09994334856146549
137,-100.0,27,45,0.09994334856146549
138,-4.410046369534663,27,45,0.09994334856146549
139,-100.0,27,46,0.09994334856146549
140,-100.0,27,47,0.09994334856146549
141,-100.0,27,48,0.09994334856146549
142,-12.324370816482572,27,48,0.09994334856146549
143,100.0,28,48,0.09994334856146549
144,-100.0,28,49,0.09994334856146549
145,-19.373453945583766,28,49,0.09994334856146549
146,-100.0,28,50,0.09994334856146549
147,100.0,29,50,0.09994334856146549
148,100.0,30,50,0.09994334856146549
149,-14.227503052654384,30,50,0.09994334856146549
150,-1.4944156315457786,30,50,0.09994334856146549
151,-100.0,30,51,0.09994334856146549
152,100.0,31,51,0.09994334856146549
153,-12.832157689099427,31,51,0.09994334856146549
154,-100.0,31,52,0.09994334856146549
155,-100.0,31,53,0.09994334856146549
156,-8.665533140195517,31,53,0.09994334856146549
157,100.0,32,53,0.09994334856146549
158,-100.0,32,54,0.09994334856146549
159,-13.222580349955708,32,54,0.09994334856146549
160,-11.049793215695441,32,54,0.09994334856146549
161,-6.697625096192206,32,54,0.09994334856146549
162,-3.144019741482205,32,54,0.09994334856146549
163,-7.552521115550508,32,54,0.09994334856146549
164,-100.0,32,55,0.09994334856146549
165,-4.642966753658218,32,55,0.09994334856146549
166,-100.0,32,56,0.09994334856146549
167,-5.958530869172364,32,56,0.09994334856146549
